"tag","yr","season","fleet","number"
2,242,1,1,1
2,242,1,9,1
2,242,1,17,1
2,243,1,8,4.4
3,241,1,9,1
3,242,1,1,3
3,242,1,9,1
3,243,1,8,8.8
3,244,1,8,3.2
4,244,1,2,1
5,242,1,17,1
6,241,1,9,2
6,242,1,9,1
6,243,1,8,1
7,241,1,9,1
7,242,1,1,2
7,242,1,2,1
7,242,1,3,2
7,242,1,9,1
7,244,1,6,1
7,252,1,2,1
8,241,1,1,1
8,241,1,9,2
8,242,1,2,1
8,242,1,9,1
8,245,1,3,1
8,247,1,8,1.1
9,244,1,6,1
10,242,1,3,1
10,245,1,6,1.3
11,241,1,9,2
12,241,1,9,1
15,245,1,4,1
16,242,1,1,1
16,243,1,1,1
16,243,1,8,3.1
16,244,1,8,2.2
16,245,1,9,1
17,242,1,9,1
17,243,1,1,1
17,243,1,8,2.3
17,244,1,8,2
18,245,1,4,1
20,243,1,8,1
21,242,1,9,1
21,243,1,8,1.1
21,245,1,6,1.3
21,245,1,7,1
21,251,1,3,1
24,242,1,3,1
26,235,1,17,1
26,238,1,17,1
26,239,1,8,1.1
27,243,1,6,1
28,234,1,8,2.8
28,234,1,17,18
28,237,1,6,1.8
28,237,1,8,3.6
28,238,1,8,1.3
28,238,1,17,1
28,239,1,6,1.1
28,239,1,8,2.1
28,240,1,6,1.1
28,240,1,8,1.1
28,240,1,16,1
28,241,1,6,5.8
28,242,1,6,5.9
28,243,1,8,1
28,244,1,6,1.2
28,245,1,6,3.9
28,249,1,6,2.1
28,251,1,6,1.1
29,234,1,17,27
29,235,1,17,1
29,237,1,8,1.8
29,237,1,18,1
29,238,1,6,4
29,238,1,8,1
29,239,1,6,2.3
29,239,1,8,3.4
29,239,1,17,1
29,241,1,6,2.3
29,243,1,16,1
29,245,1,6,2.6
29,248,1,6,1.1
29,251,1,6,1.1
30,239,1,8,1.1
30,241,1,16,1
30,243,1,8,1.1
32,237,1,6,1.8
37,235,1,8,3.9
37,237,1,8,1.8
37,240,1,8,1.1
37,241,1,8,1.2
37,243,1,6,1
38,236,1,8,1.8
38,237,1,8,1.8
38,238,1,8,1.3
38,239,1,8,1
38,243,1,8,1
38,246,1,16,1
39,236,1,8,3.7
39,237,1,8,5.3
39,238,1,8,2.7
39,238,1,16,1
39,239,1,8,3.4
39,240,1,8,4.6
39,240,1,10,1
39,241,1,6,3.5
39,242,1,6,7.8
39,242,1,7,1
39,242,1,10,1
39,243,1,6,3.4
39,243,1,8,5.5
39,244,1,6,1.2
39,245,1,6,1.3
39,246,1,17,1
39,249,1,6,6.2
39,251,1,8,1.1
39,254,1,6,1
40,235,1,2,1
40,237,1,8,1.8
40,238,1,6,1.3
40,238,1,8,1.3
40,239,1,8,9
40,240,1,8,1.1
40,241,1,6,2.3
40,242,1,6,7.8
40,242,1,8,1
40,242,1,17,1
40,243,1,6,2.3
40,244,1,6,3.3
40,245,1,6,3.9
40,246,1,6,1
40,251,1,8,1.1
41,251,1,6,1
44,236,1,8,1.8
44,238,1,17,2
44,239,1,8,2.3
44,240,1,1,1
44,240,1,8,1
44,242,1,8,1
44,242,1,16,1
44,244,1,6,2.3
45,236,1,8,3.7
