"tag","rec_yr","season","rec_model_fleet","number_prime"
2,242,1,1,1
2,242,1,9,1
2,243,1,8,4.4
3,241,1,9,1
3,242,1,1,3
3,242,1,9,1
3,243,1,8,8.8
3,244,1,8,3.2
4,244,1,2,1
6,241,1,9,2
6,242,1,9,1
6,243,1,8,1
7,241,1,9,1
7,242,1,1,2
7,242,1,2,1
7,242,1,3,2
7,242,1,9,1
7,244,1,6,1
7,252,1,2,1
8,241,1,1,1
8,241,1,9,2
8,242,1,2,1
8,242,1,9,1
8,245,1,3,1
8,247,1,8,1.1
9,244,1,6,1
10,242,1,3,1
10,245,1,6,1.3
11,241,1,9,2
12,241,1,9,1
15,245,1,4,1
16,242,1,1,1
16,243,1,1,1
16,243,1,8,3.1
16,244,1,8,2.2
16,245,1,9,1
17,242,1,9,1
17,243,1,1,1
17,243,1,8,2.3
17,244,1,8,2
18,245,1,4,1
20,243,1,8,1
21,242,1,9,1
21,243,1,8,1.1
21,245,1,6,1.3
21,245,1,7,1
21,251,1,3,1
24,242,1,3,1
26,243,1,6,1
27,237,1,6,1.8
27,240,1,6,1.1
27,241,1,6,1.2
27,245,1,6,1.3
30,235,1,8,3.9
30,237,1,8,1.8
30,240,1,8,1.1
30,241,1,8,1.2
30,243,1,6,1
31,236,1,8,1.8
31,237,1,8,1.8
31,238,1,8,1.3
31,239,1,8,1
31,243,1,8,1
31,246,1,16,1.7
32,236,1,8,3.7
32,237,1,8,5.3
32,238,1,8,2.7
32,238,1,16,1.3
32,239,1,8,3.4
32,240,1,8,4.6
32,240,1,10,1
32,241,1,6,3.5
32,242,1,6,7.8
32,242,1,7,1
32,242,1,10,1
32,243,1,6,3.4
32,243,1,8,5.5
32,244,1,6,1.2
32,245,1,6,1.3
32,246,1,17,1.7
32,249,1,6,6.2
32,251,1,8,1.1
32,254,1,6,1
33,235,1,2,1
33,237,1,8,1.8
33,238,1,6,1.3
33,238,1,8,1.3
33,239,1,8,9
33,240,1,8,1.1
33,241,1,6,2.3
33,242,1,6,7.8
33,242,1,8,1
33,242,1,17,1
33,243,1,6,2.3
33,244,1,6,3.3
33,245,1,6,3.9
33,246,1,6,1
33,251,1,8,1.1
34,251,1,6,1
37,236,1,8,1.8
37,239,1,8,2.3
37,240,1,1,1
37,240,1,8,1
37,242,1,8,1
37,242,1,16,1
37,244,1,6,2.3
38,236,1,8,3.7
38,237,1,6,5.3
38,237,1,8,27.7
38,237,1,17,1.8
38,237,1,18,1
38,238,1,8,13.3
38,238,1,16,2.7
38,238,1,17,4
38,239,1,8,9
38,240,1,6,1.1
38,240,1,8,7.6
38,240,1,18,1
38,241,1,6,4.6
38,241,1,8,11.4
38,241,1,17,2.2
38,242,1,6,13.7
38,242,1,18,1
38,243,1,6,6.8
38,243,1,8,7.5
38,244,1,1,1
38,244,1,6,3.5
38,244,1,8,2.3
38,245,1,6,13
38,246,1,6,3.5
38,246,1,16,1.7
38,246,1,17,1
38,247,1,8,2.1
38,248,1,6,4.3
38,249,1,6,5.1
38,251,1,7,1
38,254,1,6,1
39,236,1,2,1
39,236,1,6,1.8
39,236,1,8,11.1
39,237,1,6,5.3
39,237,1,8,31.3
39,237,1,18,1
